program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-03-01;10221873;5846096;51.109365;3.934201;55.043566;2900758464
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-03-01;3551720;1956338;17.7586;9.445882;27.204482;1031163096
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-03-01;40847;32676;0.204235;0.871594;1.075829;4625594410
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-03-01;190856;121699;0.95428;0.000132;0.954412;33163764494
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-03-01;1997;1638;0.009985;0.907247;0.917232;284110463
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-03-01;18105;18043;0.090525;0.461883;0.552408;3880394770
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-03-01;28181;28181;0.140905;0.404575;0.54548;220528903
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-03-01;8524;8327;0.04262;0.379093;0.421713;246164459
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-03-01;33142;33142;0.16571;0.16571;0.33142;104728734
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-03-01;1787;1766;0.008935;0.243714;0.252649;402082098
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-03-01;36485;36477;0.182425;0.020942;0.203367;2863621553
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-03-01;38489;34266;0.192445;0;0.192445;3171178969
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-03-01;3816;2543;0.01908;0.118784;0.137864;256572980
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-03-01;11610;11514;0.05805;0.062482;0.120532;1053904675
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-03-01;23051;161;0.115255;0.004613;0.119868;8137142730
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-03-01;5615;4527;0.028075;0.049502;0.077577;177840352
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-03-01;7572;6696;0.03786;0.03555;0.07341;679549972
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-03-01;764;750;0.00382;0.062847;0.066667;56765650
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-03-01;11028;11028;0.05514;0;0.05514;150746909
25uXrrL4p6xd9Uk6jQPiFQoipg4nH48Jk7RNUGEcqbg8;2026-03-01;10719;10719;0.053595;0;0.053595;140214787
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-03-01;3728;3482;0.01864;0.031789;0.050429;313950059
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-03-01;2017;1962;0.010085;0.034946;0.045031;201590928
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-03-01;8294;8270;0.04147;0;0.04147;260889938
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-03-01;228;182;0.00114;0.037922;0.039062;35583900
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-03-01;5511;5358;0.027555;0.010805;0.03836;118485432
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-03-01;2762;2752;0.01381;0.018673;0.032483;383440127
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-03-01;1032;1032;0.00516;0.025236;0.030396;93750753
G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;2026-03-01;1801;1801;0.009005;0.016225;0.02523;19069086
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-03-01;4959;4825;0.024795;0.000114;0.024909;842883831
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-03-01;2717;2717;0.013585;0.01094;0.024525;8650087
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-03-01;1038;960;0.00519;0.01175;0.01694;41356917
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-03-01;294;222;0.00147;0.013882;0.015352;28769818
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-03-01;2632;2632;0.01316;0.001173;0.014333;183180354
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-03-01;993;993;0.004965;0.005982;0.010947;402489587
SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;2026-03-01;1830;1827;0.00915;1e-06;0.009151;101654847
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-03-01;1429;947;0.007145;0;0.007145;39269073
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-03-01;891;891;0.004455;0.001569;0.006024;153909694
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;2026-03-01;1155;1155;0.005775;0;0.005775;21382840
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-03-01;868;854;0.00434;0;0.00434;67230183
DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;2026-03-01;153;85;0.000765;0.001809;0.002574;28496161
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-03-01;441;441;0.002205;0;0.002205;44536726
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-03-01;371;368;0.001855;0.000126;0.001981;56108819
MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD;2026-03-01;264;264;0.00132;1e-05;0.00133;11194211
T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;2026-03-01;23;11;0.000115;0.000755;0.00087;3545837
strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;2026-03-01;34;34;0.00017;6.5e-05;0.000235;2408443
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;2026-03-01;3;2;1.5e-05;6.1e-05;7.6e-05;667589
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-03-02;12467961;7055380;62.339805;4.947723;67.287528;3492473336
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-03-02;3796067;2033725;18.980335;10.517337;29.497672;1067340446
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-03-02;38893;30929;0.194465;0.858881;1.053346;4832945856
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-03-02;49989;49989;0.249945;0.72003;0.969975;392143863
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-03-02;191130;121884;0.95565;0.000128;0.955778;33154397844
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-03-02;8669;8497;0.043345;0.497598;0.540943;249205762
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-03-02;44634;44634;0.22317;0.22317;0.44634;142737895
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-03-02;20022;18048;0.10011;0.324475;0.424585;3896624848
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-03-02;61048;57329;0.30524;0;0.30524;5431429301
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-03-02;2206;2190;0.01103;0.261525;0.272555;501221293
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-03-02;36704;36698;0.18352;0.022332;0.205852;2895672409
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-03-02;5112;3137;0.02556;0.138997;0.164557;368461800
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-03-02;12906;12797;0.06453;0.089612;0.154142;1101144423
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-03-02;16249;15220;0.081245;0.040529;0.121774;1266581244
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-03-02;894;875;0.00447;0.07355;0.07802;68797136
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-03-02;5425;4046;0.027125;0.037855;0.06498;165493929
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-03-02;1539;1361;0.007695;0.046013;0.053708;186823230
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-03-02;272;203;0.00136;0.049792;0.051152;42263818
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-03-02;3620;3536;0.0181;0.026121;0.044221;304059617
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-03-02;3378;3373;0.01689;0.025904;0.042794;461152229
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-03-02;7836;7817;0.03918;0;0.03918;249839571
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-03-02;5312;5211;0.02656;0.012515;0.039075;113714105
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-03-02;2265;2212;0.011325;0.023563;0.034888;235483154
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-03-02;3037;3037;0.015185;0.012985;0.02817;9667891
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-03-02;1125;1009;0.005625;0.018443;0.024068;38644078
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-03-02;4614;4458;0.02307;0;0.02307;802511061
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-03-02;988;988;0.00494;0.016091;0.021031;87544509
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-03-02;3480;3479;0.0174;0.002002;0.019402;208638492
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-03-02;249;182;0.001245;0.017772;0.019017;24698725
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-03-02;3464;3464;0.01732;0;0.01732;50398314
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-03-02;1106;1106;0.00553;0.006791;0.012321;469736344
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-03-02;1114;1108;0.00557;0.0018;0.00737;88773030
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-03-02;1450;968;0.00725;0;0.00725;40266097
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-03-02;231;228;0.001155;0.006075;0.00723;77997240
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-03-02;762;762;0.00381;0.001113;0.004923;125381578
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-03-02;472;472;0.00236;0.000124;0.002484;46289132
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-03-02;465;465;0.002325;0;0.002325;70700547
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;2026-03-02;455;455;0.002275;0;0.002275;5612797
